Word,Predictions,Generated Words,Final Score,Count Words,Missed Predictions,Predicted True Count,Success Out of True,Success Out of False
Chinchilla,"{'small': True, 'mouse': False, 'rat': False, 'america': False}","['fluffy', 'rodent', 'soft', 'cute', 'fur']",75.00 %,4,100.00 %,1,0.00 %,100.00 %
Coati,"{'tree': True, 'climbing': True, 'america': True}","['raccoon', 'tropical', 'omnivore', 'prehensile', 'banded']",0.00 %,3,100.00 %,3,0.00 %,
Cow,"{'stable': False, 'milk': True, 'udder': True, 'milking': True, 'straw': False}","['milk', 'moo', 'pasture', 'barn', 'herd']",60.00 %,5,80.00 %,3,33.33 %,100.00 %
Dog,"{'shepherd': True, 'friend': True, 'pet': True, 'bark': True, 'cat': False}","['loyal', 'playful', 'bark', 'paw', 'fetch']",40.00 %,5,80.00 %,4,25.00 %,100.00 %
Dolphin,"{'whale': True, 'sea': True, 'intelligent': True, 'porpoise': True}","['ocean', 'intelligent', 'playful', 'mammal', 'echolocation']",25.00 %,4,75.00 %,4,25.00 %,
Elephant,"{'africa': True, 'india': True, 'trunk': True, 'grey': True, 'huge': True}","['large', 'trunk', 'tusks', 'gray', 'mammal']",20.00 %,5,80.00 %,5,20.00 %,
Emu,"{'bird': True, 'ostrich': True, 'australia': True}","['bird', 'australia', 'flightless', 'tall', 'feathers']",66.67 %,3,33.33 %,3,66.67 %,
Ferret,"{'marten': True, 'car': False, 'cable': False, 'lltis': False}","['sleek', 'curious', 'playful', 'nimble', 'furry']",75.00 %,4,100.00 %,1,0.00 %,100.00 %
Fish,"{'water': True, 'swim': True, 'gills': True, 'whale': False, 'salmon': True}","['water', 'gills', 'scales', 'ocean', 'swim']",80.00 %,5,40.00 %,4,75.00 %,100.00 %
Fox,"{'red': True, 'fur': True, 'city': False, 'goose': False}","['clever', 'sly', 'cunning', 'red', 'wild']",75.00 %,4,75.00 %,2,50.00 %,100.00 %
Frog,"{'croak': True, 'water': True, 'toad': False}","['amphibian', 'pond', 'croak', 'jump', 'tadpole']",66.67 %,3,66.67 %,2,50.00 %,100.00 %
Giraffe,"{'neck': True, 'long': True, 'elephant': False, 'savannah': True, 'africa': True}","['tall', 'neck', 'spots', 'savanna', 'herbivore']",40.00 %,5,80.00 %,4,25.00 %,100.00 %
Goat,"{'milk': True, 'stable': False, 'mountain': True, 'horns': True}","['horn', 'milk', 'herd', 'pasture', 'bleat']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Gorilla,"{'monkey': True, 'chimpanzee': True, 'gray': False, 'roar': False, 'chest': False}","['primate', 'jungle', 'strength', 'herbivore', 'silverback']",60.00 %,5,100.00 %,2,0.00 %,100.00 %
Grizzly,"{'brown': True, 'kodiak': True, 'predator': True, 'north america': True}","['bear', 'wild', 'fierce', 'forest', 'powerful']",0.00 %,4,100.00 %,4,0.00 %,
Hedgehog,"{'spines': True, 'small': True, 'city': False}","['spiky', 'small', 'nocturnal', 'mammal', 'cute']",66.67 %,3,66.67 %,2,50.00 %,100.00 %
Hippopotamus,"{'hippopotamus': True, 'water': True, 'giant': True, 'rhino': False}","['large', 'aquatic', 'herbivore', 'river', 'thick-skinned']",25.00 %,4,100.00 %,3,0.00 %,100.00 %
Horse,"{'riding': True, 'saddle': True, 'cow': False, 'trotting race': True}","['saddle', 'gallop', 'mane', 'hooves', 'stable']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Hyena,"{'africa': True, 'savannah': True, 'sneaky': True}","['laugh', 'scavenger', 'carnivore', 'pack', 'savannah']",33.33 %,3,66.67 %,3,33.33 %,
Jaguar,"{'england': False, 'land rover': True, 'luxury': True, 'sports car': True}","['car', 'animal', 'luxury', 'speed', 'wild']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Jellyfish,"{'transparent': True, 'water': True, 'sea': True, 'nettles': False}","['tentacles', 'ocean', 'transparent', 'sting', 'float']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Kangaroo,"{'hopping': True, 'boxing': True, 'australia': True, 'pouch': True}","['marsupial', 'hop', 'australia', 'pouch', 'joey']",50.00 %,4,50.00 %,4,50.00 %,
Koala,"{'australia': True, 'eucalyptus': True, 'tree': True}","['eucalyptus', 'marsupial', 'cuddly', 'tree', 'australia']",100.00 %,3,0.00 %,3,100.00 %,
Leopard,"{'cheetah': True, 'cat': True, 'predator': True}","['spots', 'wild', 'predator', 'agile', 'jungle']",33.33 %,3,66.67 %,3,33.33 %,
Lion,"{'king': True, 'tiger': False, 'cheetah': False, 'africa': True, 'savannah': True}","['king', 'roar', 'mane', 'pride', 'savannah']",80.00 %,5,60.00 %,3,66.67 %,100.00 %
Llama,"{'spitting': True, 'south america': True, 'guanaco': True}","['wool', 'andes', 'camelid', 'pack', 'alpaca']",0.00 %,3,100.00 %,3,0.00 %,
Mandrill,"{'primate': True, 'monkey': True, 'butt': False, 'gorilla': False}","['primate', 'colorful', 'baboon', 'rainforest', 'social']",75.00 %,4,75.00 %,2,50.00 %,100.00 %
Meerkat,"{'burrows': True, 'ground': True, 'dig': True, 'stand': True}","['social', 'alert', 'burrow', 'desert', 'sentinel']",0.00 %,4,100.00 %,4,0.00 %,
Mouse,"{'rodent': True, 'rat': True, 'small': True}","['small', 'rodent', 'cheese', 'click', 'squeak']",66.67 %,3,33.33 %,3,66.67 %,
Orangutan,"{'orange': True, 'monkey': True, 'primate': True, 'chimpanzee': False}","['primate', 'jungle', 'endangered', 'intelligent', 'reddish']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Otter,"{'water': True, 'dam': False, 'wood': False}","['aquatic', 'playful', 'river', 'fur', 'paw']",66.67 %,3,100.00 %,1,0.00 %,100.00 %
Ox,"{'cow': True, 'bull': True, 'ring': False, 'nose': False}","['strong', 'plow', 'farm', 'beast', 'yoke']",50.00 %,4,100.00 %,2,0.00 %,100.00 %
Panda,"{'black': True, 'white': True, 'clumsy': True, 'china': True, 'bear': True}","['bamboo', 'black-and-white', 'cute', 'endangered', 'china']",20.00 %,5,80.00 %,5,20.00 %,
Parrot,"{'colorful': True, 'red': False, 'bird': True, 'beak': True}","['feathers', 'mimic', 'tropical', 'colorful', 'cage']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Penguin,"{'south pole': True, 'arctic': False, 'yellow': True, 'black': True, 'white': True}","['antarctica', 'ice', 'waddle', 'black and white', 'flightless']",20.00 %,5,100.00 %,4,0.00 %,100.00 %
Rabbit,"{'pet': True, 'bunny': True, 'lout': False}","['hop', 'carrot', 'burrow', 'ears', 'fluffy']",50.00 %,4,100.00 %,2,0.00 %,100.00 %
Raccoon,"{'teddy': False, 'grizzly': False, 'garbage can': True}","['mask', 'nocturnal', 'trash', 'curious', 'bandit']",66.67 %,3,100.00 %,1,0.00 %,100.00 %
Reindeer,"{'santa claus': True, 'rudolf': True, 'nose': True, 'red': True, 'deer': True}","['antlers', 'santa', 'sleigh', 'tundra', 'caribou']",0.00 %,5,100.00 %,5,0.00 %,
Rhino,"{'hippopotamus': False, 'elephant': False, 'africa': True, 'savannah': True}","['horn', 'thick-skinned', 'mammal', 'endangered', 'herbivore']",50.00 %,4,100.00 %,2,0.00 %,100.00 %
Seahorse,"{'water': True, 'sea': True, 'small': True, 'saddle': False}","['ocean', 'marine', 'curly', 'delicate', 'unique']",25.00 %,4,100.00 %,3,0.00 %,100.00 %
Seal,"{'tricks': False, 'balancing': False, 'water': True, 'sea': True, 'cat': False}","['animal', 'ocean', 'flippers', 'blubber', 'pup']",60.00 %,5,100.00 %,2,0.00 %,100.00 %
Shark,"{'water': True, 'teeth': True, 'surfer': True, 'tornado': False}","['predator', 'ocean', 'fin', 'teeth', 'danger']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Sheepdog,"{'police': False, 'friend': True, 'pet': True, 'bark': True, 'cat': False}","['loyal', 'protective', 'intelligent', 'herding', 'alert']",40.00 %,5,100.00 %,3,0.00 %,100.00 %
Snail,"{'slime': True, 'house': True, 'small': True, 'slow': True}","['slow', 'shell', 'slime', 'garden', 'mollusk']",50.00 %,4,50.00 %,4,50.00 %,
Spider,"{'web': True, 'fly': True, 'legs': True, 'cellar': False}","['web', 'legs', 'venom', 'arachnid', 'silk']",75.00 %,4,50.00 %,3,66.67 %,100.00 %
Squirrel,"{'forest': True, 'tree': True, 'nuts': True, 'hibernate': False, 'brown': True}","['acorn', 'tail', 'tree', 'forage', 'nut']",40.00 %,5,80.00 %,4,25.00 %,100.00 %
Walrus,"{'water': True, 'horse': False, 'sea': True, 'tusks': True}","['tusks', 'blubber', 'arctic', 'marine', 'whiskers']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Wasp,"{'bee': True, 'honey': False, 'sting': True, 'black': True, 'yellow': True}","['sting', 'insect', 'yellow', 'nest', 'aggressive']",60.00 %,5,60.00 %,4,50.00 %,100.00 %
Wolf,"{'wild': True, 'dog': True, 'howl': True, 'moon': True, 'pack': True}","['howl', 'pack', 'wild', 'moon', 'predator']",80.00 %,5,20.00 %,5,80.00 %,
Yak,"{'cow': True, 'horns': True, 'asia': True}","['mountain', 'wool', 'herd', 'tibet', 'bovine']",0.00 %,4,100.00 %,3,0.00 %,
Zebra,"{'strip': True, 'elephant': False, 'giraffe': False, 'black': True, 'white': True}","['stripes', 'savanna', 'wild', 'herbivore', 'africa']",40.00 %,5,100.00 %,3,0.00 %,100.00 %
Audi,"{'germany': True, 'ingolstadt': True, 'rings': True, 'volkswagen': True}","['luxury', 'performance', 'innovation', 'precision', 'elegance']",0.00 %,4,100.00 %,4,0.00 %,
Bentley,"{'luxury': True, 'england': True, 'rolls-royce': False}","['luxury', 'automobile', 'prestige', 'elegance', 'performance']",66.67 %,3,66.67 %,2,50.00 %,100.00 %
Bugatti,"{'luxury': True, 'sports car': True, 'volkswagen': False, 'france': True}","['luxury', 'speed', 'performance', 'exclusivity', 'design']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Buick,"{'america': True, 'united states': True, 'general motors': True}","['luxury', 'classic', 'american', 'elegance', 'automobile']",0.00 %,3,100.00 %,3,0.00 %,
Cadillac,"{'america': True, 'united states': True, 'general motors': True}","['luxury', 'automobile', 'prestige', 'elegance', 'american']",0.00 %,3,100.00 %,3,0.00 %,
Chevrolet,"{'america': True, 'united states': True, 'general motors': True, 'camaro': True, 'transformers': True}","['camaro', 'truck', 'american', 'corvette', 'silverado']",20.00 %,5,80.00 %,5,20.00 %,
Chrysler,"{'america': True, 'united states': True, 'dodge': True}","['automobile', 'detroit', 'minivan', 'jeep', 'dodge']",33.33 %,3,66.67 %,3,33.33 %,
Citroën,"{'france': True, 'peugeot': True, 'small cars': True}","['french', 'automobile', 'innovation', 'design', 'heritage']",0.00 %,3,100.00 %,3,0.00 %,
Corvette,"{'america': True, 'united states': True, 'sports car': True}","['sports car', 'speed', 'chevrolet', 'performance', 'luxury']",33.33 %,3,66.67 %,3,33.33 %,
Dacia,"{'romania': True, 'small cars': True, 'cheap': True, 'duster': True}","['romania', 'car', 'automobile', 'brand', 'history']",25.00 %,4,75.00 %,4,25.00 %,
Daewoo,"{'south korea': True, 'small cars': True, 'general motors': True}","['automobiles', 'electronics', 'south korea', 'conglomerate', 'manufacturing']",33.33 %,3,66.67 %,3,33.33 %,
DAF,"{'trucks': True, 'big rig': True, 'netherlands': True, 'cargo': True}","['truck', 'vehicle', 'manufacturer', 'dutch', 'commercial']",0.00 %,4,100.00 %,4,0.00 %,
Daihatsu,"{'japan': True, 'toyota': True, 'small cars': True}","['compact', 'reliable', 'efficient', 'japanese', 'affordable']",0.00 %,3,100.00 %,3,0.00 %,
Dodge,"{'viper': True, 'america': False, 'united states': False, 'general motors': False}","['vehicle', 'evade', 'brand', 'agility', 'avoid']",75.00 %,4,100.00 %,1,0.00 %,100.00 %
Ferrari,"{'italy': True, 'red': True, 'sports car': True, 'luxury': True, 'michael schumacher': True}","['luxury', 'speed', 'performance', 'italian', 'prestige']",20.00 %,5,80.00 %,5,20.00 %,
Ford,"{'america': True, 'united states': True, 'henry': True, 'f-150': True, 'assembly line': True}","['automobile', 'truck', 'mustang', 'manufacturer', 'detroit']",0.00 %,5,100.00 %,5,0.00 %,
GMC,"{'general motors': True, 'united states': True, 'multicorporate enterprise': False}","['trucks', 'vehicles', 'automotive', 'durability', 'suv']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Honda,"{'japan': True, 'mitsubishi': False, 'civic': True}","['reliable', 'innovative', 'efficient', 'durable', 'affordable']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Hummer,"{'army': True, 'united states': True, 'america': True}","['suv', 'military', 'rugged', 'luxury', 'off-road']",0.00 %,3,100.00 %,3,0.00 %,
Infiniti,"{'nissan': True, 'japan': True, 'luxury': True}","['luxury', 'innovation', 'performance', 'elegance', 'technology']",33.33 %,3,66.67 %,3,33.33 %,
Isuzu,"{'japan': True, 'trucks': True, 'big rig': False, 'cargo': False}","['trucks', 'durability', 'japan', 'automotive', 'commercial']",100.00 %,4,50.00 %,2,100.00 %,100.00 %
Iveco,"{'italy': True, 'trucks': True, 'big rig': True, 'cargo': True}","['trucks', 'commercial', 'vehicles', 'transport', 'diesel']",25.00 %,4,75.00 %,4,25.00 %,
Jeep,"{'chrysler': True, 'army': True, 'america': True, 'united states': True}","['off-road', 'rugged', 'adventure', '4x4', 'wrangler']",0.00 %,4,100.00 %,4,0.00 %,
Königsegg,"{'sweden': True, 'luxury': True, 'sports car': True}","['hypercar', 'speed', 'sweden', 'innovation', 'luxury']",66.67 %,3,33.33 %,3,66.67 %,
Lamborghini,"{'italy': True, 'sports car': True, 'luxury': True, 'volkswagen': False}","['luxury', 'speed', 'performance', 'exotic', 'design']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Lancia,"{'italy': True, 'small cars': True, 'fiat': True}","['italian', 'automobile', 'racing', 'heritage', 'innovation']",0.00 %,3,100.00 %,3,0.00 %,
Lexus,"{'toyota': True, 'luxury': True, 'japan': True}","['luxury', 'reliability', 'innovation', 'elegance', 'performance']",33.33 %,3,66.67 %,3,33.33 %,
Lincoln,"{'america': True, 'united states': True, 'ford': True, 'luxury': False}","['president', 'abe', 'emancipation', 'gettysburg', 'log']",25.00 %,4,100.00 %,3,0.00 %,100.00 %
Maserati,"{'italy': True, 'fiat': False, 'sports car': True, 'luxury': True}","['luxury', 'performance', 'elegance', 'italian', 'sportscar']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Maybach,"{'germany': True, 'mercedes': True, 'luxury': True}","['luxury', 'prestige', 'exclusivity', 'elegance', 'performance']",33.33 %,3,66.67 %,3,33.33 %,
McLaren,"{'england': True, 'luxury': True, 'sports car': True}","['racing', 'supercar', 'speed', 'innovation', 'performance']",0.00 %,4,100.00 %,3,0.00 %,
Mercedes-AMG,"{'germany': True, 'luxury': True, 'tuning': True}","['performance', 'luxury', 'engineering', 'speed', 'prestige']",33.33 %,3,66.67 %,3,33.33 %,
Mercedes-Benz,"{'germany': True, 'daimler': True, 'chrysler': False}","['luxury', 'innovation', 'performance', 'elegance', 'prestige']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Mini,"{'germany': False, 'england': True, 'bmw': False, 'small': True, 'mr bean': False}","['small', 'compact', 'tiny', 'portable', 'cute']",80.00 %,5,80.00 %,2,50.00 %,100.00 %
Mitsubishi,"{'japan': True, 'lancer': True, 'rally': True}","['automobiles', 'engineering', 'innovation', 'reliability', 'technology']",0.00 %,3,100.00 %,3,0.00 %,
Moskwitsch,"{'russia': True, 'sowjet': True, 'ddr': False}","['car', 'vintage', 'soviet', 'compact', 'classic']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Nissan,"{'japan': True, 'skyline': True, 'datsun': True}","['cars', 'japan', 'innovation', 'altima', 'automotive']",33.33 %,3,66.67 %,3,33.33 %,
Oldsmobile,"{'america': True, 'united states': True, 'general motors': True}","['classic', 'american', 'automobile', 'vintage', 'muscle']",0.00 %,3,100.00 %,3,0.00 %,
Opel,"{'germany': True, 'rüsselsheim': True, 'vauxhall': True}","['automobile', 'german', 'carmaker', 'design', 'innovation']",0.00 %,3,100.00 %,3,0.00 %,
Pagani,"{'italy': True, 'sports car': True, 'luxury': True, 'expensive': True}","['hypercar', 'luxury', 'italian', 'performance', 'design']",25.00 %,4,75.00 %,4,25.00 %,
Peugeot,"{'france': True, 'bicycles': False, 'motorcycle': True}","['car', 'french', 'automobile', 'lion', 'design']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Piaggio,"{'italy': True, 'motorcycles': True, 'moped': True, 'vespa': True}","['vespa', 'scooter', 'italy', 'design', 'mobility']",50.00 %,4,50.00 %,4,50.00 %,
Polaris,"{'america': False, 'united states': False, 'quads': False, 'snow mobile': False}","['north', 'star', 'navigation', 'constellation', 'guiding']",100.00 %,4,100.00 %,0,,100.00 %
Pontiac,"{'general motors': True, 'united states': True, 'america': True}","['car', 'muscle', 'automobile', 'gto', 'brand']",0.00 %,3,100.00 %,3,0.00 %,
Porsche,"{'germany': True, 'stuttgart': True, '911': True, 'volkswagen': False}","['luxury', 'performance', 'sportscar', 'engineering', 'prestige']",25.00 %,4,100.00 %,3,0.00 %,100.00 %
Renault,"{'france': True, 'small cars': True, 'nissan': True}","['cars', 'france', 'automobile', 'clio', 'innovation']",33.33 %,3,66.67 %,3,33.33 %,
Rover,"{'england': True, 'tata': False, 'small cars': True, 'bmw': False}","['exploration', 'vehicle', 'mars', 'adventure', 'technology']",50.00 %,4,100.00 %,2,0.00 %,100.00 %
Saab,"{'sweden': True, 'scania': True, 'stockholm': False}","['aircraft', 'automobiles', 'sweden', 'innovation', 'engineering']",66.67 %,3,66.67 %,2,50.00 %,100.00 %
Seat,"{'spanien': False, 'small cars': False, 'volkswagen': False}","['chair', 'cushion', 'bench', 'stool', 'throne']",100.00 %,3,100.00 %,0,,100.00 %
Scania,"{'sweden': True, 'trucks': True, 'big rig': True, 'cargo': False}","['trucks', 'sweden', 'transport', 'engineering', 'logistics']",75.00 %,4,50.00 %,3,66.67 %,100.00 %
Skoda,"{'tschechien': True, 'volkswagen': True, 'small cars': True}","['automobile', 'czech', 'reliable', 'affordable', 'engineering']",0.00 %,3,100.00 %,3,0.00 %,
Smart,"{'germany': False, 'small': False, 'parking space': False, 'mercedes': False, 'daimler': False}","['intelligent', 'innovative', 'efficient', 'analytical', 'resourceful']",100.00 %,5,100.00 %,0,,100.00 %
Subaru,"{'japan': True, 'impereza': False, 'rally': True}","['outback', 'forester', 'impreza', 'awd', 'reliability']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Suzuki,"{'japan': True, 'motorbikes': True, 'honda': False}","['motorcycle', 'cars', 'reliable', 'japan', 'innovation']",66.67 %,3,66.67 %,2,50.00 %,100.00 %
Tesla,"{'elon musk': True, 'united states': True, 'electric': True, 'sexy': False}","['electric', 'innovation', 'automotive', 'technology', 'sustainability']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Toyota,"{'multicorporate enterprise': False, 'japan': True, 'yaris': True, 'avensis': True}","['reliable', 'efficient', 'innovative', 'durable', 'hybrid']",25.00 %,4,100.00 %,3,0.00 %,100.00 %
Trabant,"{'trabbi': True, 'ddr': True, 'veb': True, 'germany': True, 'zwickau': True}","['car', 'east germany', 'plastic', 'nostalgia', 'iconic']",0.00 %,5,100.00 %,5,0.00 %,
UAZ,"{'russia': True, 'soviet union': True, 'trucks': True, 'big rig': False, 'cargo': False}","['off-road', 'military', 'utility', 'rugged', 'soviet']",40.00 %,5,100.00 %,3,0.00 %,100.00 %
Volvo,"{'sweden': True, 'trucks': True, 'big rig': False, 'ford': False, 'cargo': False}","['safety', 'swedish', 'durability', 'innovation', 'reliability']",60.00 %,5,100.00 %,2,0.00 %,100.00 %
Volkswagen,"{'germany': True, 'golf': True, 'passat': True, 'audi': False, 'wolfsburg': True}","['beetle', 'golf', 'passat', 'tiguan', 'emission']",60.00 %,5,60.00 %,4,50.00 %,100.00 %
Wartburg,"{'lada': False, 'ddr': True, 'russia': False, 'trabbi': True, 'germany': True}","['castle', 'luther', 'reformation', 'history', 'germany']",60.00 %,5,80.00 %,3,33.33 %,100.00 %
Afghanistan,"{'asia': True, 'southern asia': True, 'kabul': True}","['kabul', 'taliban', 'rug', 'mountains', 'war']",33.33 %,3,66.67 %,3,33.33 %,
Albania,"{'europe': True, 'southern europe': True, 'tirana': True}","['bunkers', 'mountains', 'besa', 'tirana', 'albanian']",33.33 %,3,66.67 %,3,33.33 %,
Algeria,"{'africa': True, 'northern africa': True, 'algiers': True}","['sahara', 'algiers', 'couscous', 'berber', 'independence']",33.33 %,3,66.67 %,3,33.33 %,
Andorra,"{'europe': True, 'southern europe': True, 'andorra la vella': True}","['pyrenees', 'skiing', 'microstate', 'catalan', 'tourism']",0.00 %,3,100.00 %,3,0.00 %,
Angola,"{'africa': True, 'middle africa': True, 'luanda': True}","['luanda', 'petroleum', 'kwanza', 'biodiversity', 'portuguese']",33.33 %,3,66.67 %,3,33.33 %,
Anguilla,"{'americas': True, 'caribbean': True, 'the valley': True}","['island', 'caribbean', 'beaches', 'tourism', 'coral']",33.33 %,3,66.67 %,3,33.33 %,
Argentina,"{'americas': True, 'south america': True, 'buenos aires': True}","['tango', 'gaucho', 'mate', 'pampas', 'evita']",0.00 %,3,100.00 %,3,0.00 %,
Armenia,"{'asia': True, 'western asia': True, 'yerevan': True}","['yerevan', 'mount ararat', 'khorovats', 'duduk', 'noah']",33.33 %,3,66.67 %,3,33.33 %,
Aruba,"{'americas': True, 'caribbean': True, 'oranjestad': True}","['beach', 'caribbean', 'paradise', 'palm trees', 'tourism']",33.33 %,3,66.67 %,3,33.33 %,
Australia,"{'oceania': True, 'australia and new zealand': True, 'canberra': True}","['kangaroo', 'outback', 'sydney', 'koala', 'surfing']",0.00 %,3,100.00 %,3,0.00 %,
Austria,"{'europe': True, 'western europe': True, 'vienna': True}","['alps', 'vienna', 'mozart', 'schnitzel', 'tyrol']",33.33 %,3,66.67 %,3,33.33 %,
Azerbaijan,"{'asia': True, 'western asia': True, 'baku': True}","['baku', 'caspian', 'carpet', 'pomegranate', 'mugham']",33.33 %,3,66.67 %,3,33.33 %,
Bahamas,"{'americas': False, 'caribbean': True, 'nassau': True}","['beaches', 'tropical', 'islands', 'paradise', 'caribbean']",66.67 %,3,66.67 %,2,50.00 %,100.00 %
Bahrain,"{'asia': True, 'western asia': True, 'manama': True}","['pearl', 'manama', 'gulf', 'dilmun', 'formula1']",33.33 %,3,66.67 %,3,33.33 %,
Bangladesh,"{'asia': True, 'southern asia': True, 'dhaka': True}","['dhaka', 'ganges', 'sundarbans', 'jute', 'cricket']",33.33 %,3,66.67 %,3,33.33 %,
Barbados,"{'americas': True, 'caribbean': True, 'bridgetown': True}","['beaches', 'rum', 'cricket', 'caribbean', 'bridgetown']",66.67 %,3,33.33 %,3,66.67 %,
Belarus,"{'europe': True, 'eastern europe': True, 'minsk': True}","['minsk', 'bison', 'forests', 'potatoes', 'orthodox']",33.33 %,3,66.67 %,3,33.33 %,
Belgium,"{'europe': True, 'western europe': True, 'brussels': True}","['chocolate', 'waffles', 'beer', 'brussels', 'eu']",33.33 %,3,66.67 %,3,33.33 %,
Belize,"{'americas': True, 'central america': True, 'belmopan': True}","['caribbean', 'rainforest', 'barrierreef', 'mayanruins', 'diverse']",0.00 %,3,100.00 %,3,0.00 %,
Benin,"{'africa': True, 'western africa': True, 'porto-novo': True}","['voodoo', 'dahomey', 'cotonou', 'bronze', 'ouidah']",0.00 %,3,100.00 %,3,0.00 %,
Bermuda,"{'americas': True, 'northern america': False, 'hamilton': True}","['triangle', 'island', 'ocean', 'mystery', 'beaches']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Bhutan,"{'asia': True, 'southern asia': True, 'thimphu': True}","['himalayas', 'gross national happiness', 'dzong', 'buddhism', 'thimphu']",33.33 %,3,66.67 %,3,33.33 %,
Botswana,"{'africa': True, 'southern africa': True, 'gaborone': True}","['safari', 'diamonds', 'kalahari', 'okavango', 'wildlife']",0.00 %,3,100.00 %,3,0.00 %,
Brazil,"{'americas': True, 'south america': True, 'brasília': True}","['samba', 'amazon', 'carnival', 'football', 'caipirinha']",0.00 %,3,100.00 %,3,0.00 %,
Bulgaria,"{'europe': True, 'eastern europe': True, 'sofia': True}","['rila', 'yogurt', 'sofia', 'cyrillic', 'rose']",33.33 %,3,66.67 %,3,33.33 %,
Burundi,"{'africa': True, 'eastern africa': True, 'bujumbura': True}","['bujumbura', 'kirundi', 'lake tanganyika', 'hutu', 'drumming']",33.33 %,3,66.67 %,3,33.33 %,
Cambodia,"{'asia': True, 'south-eastern asia': True, 'phnom penh': True}","['angkor', 'phnom penh', 'khmer', 'temples', 'mekong']",33.33 %,3,66.67 %,3,33.33 %,
